date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-05-08 13:04:18,MaisaCorp,,0,0,0,"$VNDA Fanapt® prescriptions, as reported by IMS, were approximately 40,600 for the first quarter of 2014.",,,,464390336840622081,https://twitter.com/MaisaCorp/status/464390336840622081
2014-05-08 13:04:03,MaisaCorp,,0,0,0,"$VNDA recorded first quarter 2014 revenues of $9.1 million including Fanapt® royalties of $1.7 million",,,,464390273615679489,https://twitter.com/MaisaCorp/status/464390273615679489
2014-05-08 11:30:21,BioWino,adamfeuerstein,0,0,0,"@adamfeuerstein Do you see sales? All I see is small revs for fanapt and some milestone payments. Nothing for Hetlioz",,@adamfeuerstein,,464366693758664704,https://twitter.com/BioWino/status/464366693758664704
2014-04-30 00:30:45,LS_Medical,,0,0,0,"Missed It? #FDA drug approvals as of Tuesday, April 22: Atridox, Cyramza, Fanapt and others: http://ht.ly/wdLkV",,,#FDA,461301595473723392,https://twitter.com/LS_Medical/status/461301595473723392
2014-04-22 23:01:47,LS_Medical,,0,0,0,"Regulatory News: #FDA drug approvals as of Tuesday, April 22: Atridox, Cyramza, Fanapt and others: http://ht.ly/w3bkY",,,#FDA,458742490053758976,https://twitter.com/LS_Medical/status/458742490053758976
2014-04-15 21:13:15,bishokuseikatsu,,0,0,0,"Research and Markets: Global Fanapt (Schizophrenia) - Forecast and Market Analysis to 2022 - DUBLIN--(... http://wp.me/p2HeeP-2fRW",,,,456178462521188353,https://twitter.com/bishokuseikatsu/status/456178462521188353
2014-04-15 18:34:05,feel_on_,,0,0,0,"Research and Markets: Global Fanapt (Schizophrenia) - Forecast and Market Analysis to 2022 - DUBLIN--... http://wp.me/p3RIPt-2bPF",,,,456138405596770304,https://twitter.com/feel_on_/status/456138405596770304
2014-04-15 16:55:33,k_kadenlife,,0,0,0,"Research and Markets: Global Fanapt (Schizophrenia) - Forecast and Market Analysis to 2022 - DUBLIN--(... http://wp.me/p2sULd-36Sw",,,,456113612176625664,https://twitter.com/k_kadenlife/status/456113612176625664
2014-04-15 16:55:33,k_kadenlife,,0,0,0,"Research and Markets: Global Fanapt (Schizophrenia) - Forecast and Market Analysis to 2022 - DUBLIN--(... http://wp.me/p2sULd-36Sx",,,,456113612075970560,https://twitter.com/k_kadenlife/status/456113612075970560
2014-04-15 10:31:50,BW_Business,,0,0,0,"Research and Markets: Global Fanapt (Schizophrenia) - Forecast and Market Analysis to 2022 http://dlvr.it/5PYfnj",,,,456017042777182208,https://twitter.com/BW_Business/status/456017042777182208
2014-04-03 19:25:13,LEONIDAS210,,0,0,0,"BREAKING! Adam Lanza Meds 'Fanapt' Responsible for School Massacre: http://youtu.be/bKBJwbAjUZk via @YouTube",,@YouTube,,451802618726076416,https://twitter.com/LEONIDAS210/status/451802618726076416
2014-03-12 13:01:52,schizodefective,,0,0,0,"Maybe I wasn't supposed to stop taking Fanapt after all. But I couldn't read the note correctly and stopped it about 2 weeks ago. Now this,,",,,,443733612585054209,https://twitter.com/schizodefective/status/443733612585054209
2014-03-08 13:13:27,thinkshrink,,0,0,1,"Latuda - Saphris ---Fanapt no advantages with these atypicals ! As strongly predicted by expert bloggers... http://fb.me/6M0qL1N9Y",,,,442286978462003200,https://twitter.com/thinkshrink/status/442286978462003200
2014-02-16 05:02:24,108monkeys,,0,0,0,"Answer to the last question: Fanapt - Contrary to mainstream media reports:... http://fb.me/1kkFiLtFQ",,,,434915642702327808,https://twitter.com/108monkeys/status/434915642702327808
2014-02-13 17:03:25,TMFBreaking,,0,0,0,"Vanda Pharma cut R&D 41%, but tripling of SG&A combined w/modest Fanapt growth caused loss to widen 20%. $VNDA http://mot.ly/1hg6Exo",,,,434009931399049216,https://twitter.com/TMFBreaking/status/434009931399049216
2014-02-02 01:46:55,pbmech,,0,0,0,"@LifeSciencesMkt @adamfeuerstein big deal ... is that a disease in the first place ? They had Fanapt approved as well some years ago :)",,@adamfeuerstein,,429793017839771648,https://twitter.com/pbmech/status/429793017839771648
2014-01-31 15:43:15,Mykalt45,BioRunUp,0,0,0,"@biorunup I think Fanapt was a Friday and after hours. If I'm wrong, please disregard.",,@BioRunUp,,429278714795286529,https://twitter.com/Mykalt45/status/429278714795286529
2014-01-18 15:21:42,schizodefective,,0,0,0,"@weswroten Lorazepam, Lamotrigine, Venlafaxine, Fanapt. But they are no longer doing much good at all. But when stopped I get physically ill",,@weswroten,,424562249668124672,https://twitter.com/schizodefective/status/424562249668124672
2013-12-16 04:57:10,JamesDReed1,,0,0,0,"Fanapt Hoax Hides Real Connection Between Shooters and SSRI Drugs - http://www.infowars.com/fanapt-hoax-hides-real-connection-between-shooters-and-ssri-drugs/",,,,412446278912446464,https://twitter.com/JamesDReed1/status/412446278912446464
2013-12-15 15:29:25,WellnessHeal,,1,0,0,"#Newtown school shooter needed nutrition, not drugs like Fanapt from Novartis http://www.naturalnews.com/038415_school_shootings_nutrition_psychiatric_drugs.html via @HealthRanger",,@HealthRanger,#Newtown,412243001235103744,https://twitter.com/WellnessHeal/status/412243001235103744
2013-12-14 14:19:47,WellnessHeal,,0,0,0,"Newtown school shooter needed nutrition, not drugs like Fanapt from Novartis http://dlvr.it/4W1Wfd",,,,411863092436279296,https://twitter.com/WellnessHeal/status/411863092436279296
2013-12-14 14:17:53,WellnessHeal,,0,0,0,"#Newtown school shooter needed nutrition, not drugs like Fanapt from Novartis http://www.naturalnews.com/038415_school_shootings_nutrition_psychiatric_drugs.html via @HealthRanger",,@HealthRanger,#Newtown,411862614080094210,https://twitter.com/WellnessHeal/status/411862614080094210
2013-12-14 14:17:45,WellnessHeal,,0,0,0,"Newtown school shooter needed nutrition, not drugs like Fanapt from Novartis http://www.naturalnews.com/038415_school_shootings_nutrition_psychiatric_drugs.html via @HealthRanger",,@HealthRanger,,411862578428510208,https://twitter.com/WellnessHeal/status/411862578428510208
2013-12-11 17:39:52,Doll_face_225,,0,0,0,"Also fanapt makes me a lot less neurotic. .but omg im sleepy, and my am txts back make NO SENSE lol @one of them I cant even...",,,,410826278699151360,https://twitter.com/Doll_face_225/status/410826278699151360
2013-12-07 07:28:05,amcrasto,,0,0,0,"Photo: Iloperidone(Fanapt) View Post http://tmblr.co/ZhqKSu10VcGgn",,,,409222769122234368,https://twitter.com/amcrasto/status/409222769122234368
